table_name,ordinal_position,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable
account_account,1,id,integer,,32,0,NO
account_account,2,currency_id,integer,,32,0,YES
account_account,3,create_uid,integer,,32,0,YES
account_account,4,write_uid,integer,,32,0,YES
account_account,5,account_type,character varying,,,,NO
account_account,6,name,jsonb,,,,NO
account_account,7,description,jsonb,,,,YES
account_account,8,code_store,jsonb,,,,YES
account_account,9,note,text,,,,YES
account_account,10,active,boolean,,,,YES
account_account,11,reconcile,boolean,,,,YES
account_account,12,non_trade,boolean,,,,YES
account_account,13,create_date,timestamp without time zone,,,,YES
account_account,14,write_date,timestamp without time zone,,,,YES
account_account,15,l10n_in_tds_tcs_section_id,integer,,32,0,YES
account_account,16,l10n_in_tds_feature_enabled,boolean,,,,YES
account_account,17,l10n_in_tcs_feature_enabled,boolean,,,,YES
account_account_account_merge_wizard_rel,1,account_merge_wizard_id,integer,,32,0,NO
account_account_account_merge_wizard_rel,2,account_account_id,integer,,32,0,NO
account_account_account_tag,1,account_account_id,integer,,32,0,NO
account_account_account_tag,2,account_account_tag_id,integer,,32,0,NO
account_account_res_company_rel,1,account_account_id,integer,,32,0,NO
account_account_res_company_rel,2,res_company_id,integer,,32,0,NO
account_account_tag,1,id,integer,,32,0,NO
account_account_tag,2,color,integer,,32,0,YES
account_account_tag,3,country_id,integer,,32,0,YES
account_account_tag,4,create_uid,integer,,32,0,YES
account_account_tag,5,write_uid,integer,,32,0,YES
account_account_tag,6,applicability,character varying,,,,NO
account_account_tag,7,name,jsonb,,,,NO
account_account_tag,8,active,boolean,,,,YES
account_account_tag,9,create_date,timestamp without time zone,,,,YES
account_account_tag,10,write_date,timestamp without time zone,,,,YES
account_account_tag_account_move_line_rel,1,account_move_line_id,integer,,32,0,NO
account_account_tag_account_move_line_rel,2,account_account_tag_id,integer,,32,0,NO
account_account_tag_account_tax_repartition_line_rel,1,account_tax_repartition_line_id,integer,,32,0,NO
account_account_tag_account_tax_repartition_line_rel,2,account_account_tag_id,integer,,32,0,NO
account_account_tag_product_template_rel,1,product_template_id,integer,,32,0,NO
account_account_tag_product_template_rel,2,account_account_tag_id,integer,,32,0,NO
account_account_tax_default_rel,1,account_id,integer,,32,0,NO
account_account_tax_default_rel,2,tax_id,integer,,32,0,NO
account_accrued_orders_wizard,1,id,integer,,32,0,NO
account_accrued_orders_wizard,2,company_id,integer,,32,0,YES
account_accrued_orders_wizard,3,journal_id,integer,,32,0,NO
account_accrued_orders_wizard,4,currency_id,integer,,32,0,YES
account_accrued_orders_wizard,5,account_id,integer,,32,0,NO
account_accrued_orders_wizard,6,create_uid,integer,,32,0,YES
account_accrued_orders_wizard,7,write_uid,integer,,32,0,YES
account_accrued_orders_wizard,8,date,date,,,,NO
account_accrued_orders_wizard,9,reversal_date,date,,,,NO
account_accrued_orders_wizard,10,amount,numeric,,,,YES
account_accrued_orders_wizard,11,create_date,timestamp without time zone,,,,YES
account_accrued_orders_wizard,12,write_date,timestamp without time zone,,,,YES
account_analytic_account,1,id,integer,,32,0,NO
account_analytic_account,2,plan_id,integer,,32,0,NO
account_analytic_account,3,root_plan_id,integer,,32,0,YES
account_analytic_account,4,company_id,integer,,32,0,YES
account_analytic_account,5,partner_id,integer,,32,0,YES
account_analytic_account,6,create_uid,integer,,32,0,YES
account_analytic_account,7,write_uid,integer,,32,0,YES
account_analytic_account,8,code,character varying,,,,YES
account_analytic_account,9,name,jsonb,,,,NO
account_analytic_account,10,active,boolean,,,,YES
account_analytic_account,11,create_date,timestamp without time zone,,,,YES
account_analytic_account,12,write_date,timestamp without time zone,,,,YES
account_analytic_applicability,1,id,integer,,32,0,NO
account_analytic_applicability,2,analytic_plan_id,integer,,32,0,YES
account_analytic_applicability,3,company_id,integer,,32,0,YES
account_analytic_applicability,4,create_uid,integer,,32,0,YES
account_analytic_applicability,5,write_uid,integer,,32,0,YES
account_analytic_applicability,6,business_domain,character varying,,,,NO
account_analytic_applicability,7,applicability,character varying,,,,NO
account_analytic_applicability,8,create_date,timestamp without time zone,,,,YES
account_analytic_applicability,9,write_date,timestamp without time zone,,,,YES
account_analytic_applicability,10,product_categ_id,integer,,32,0,YES
account_analytic_applicability,11,account_prefix,character varying,,,,YES
account_analytic_distribution_model,1,id,integer,,32,0,NO
account_analytic_distribution_model,2,sequence,integer,,32,0,YES
account_analytic_distribution_model,3,partner_id,integer,,32,0,YES
account_analytic_distribution_model,4,partner_category_id,integer,,32,0,YES
account_analytic_distribution_model,5,company_id,integer,,32,0,YES
account_analytic_distribution_model,6,create_uid,integer,,32,0,YES
account_analytic_distribution_model,7,write_uid,integer,,32,0,YES
account_analytic_distribution_model,8,analytic_distribution,jsonb,,,,YES
account_analytic_distribution_model,9,create_date,timestamp without time zone,,,,YES
account_analytic_distribution_model,10,write_date,timestamp without time zone,,,,YES
account_analytic_distribution_model,11,product_id,integer,,32,0,YES
account_analytic_distribution_model,12,product_categ_id,integer,,32,0,YES
account_analytic_distribution_model,13,account_prefix,character varying,,,,YES
account_analytic_line,1,id,integer,,32,0,NO
account_analytic_line,2,account_id,integer,,32,0,YES
account_analytic_line,3,product_uom_id,integer,,32,0,YES
account_analytic_line,4,partner_id,integer,,32,0,YES
account_analytic_line,5,user_id,integer,,32,0,YES
account_analytic_line,6,company_id,integer,,32,0,NO
account_analytic_line,7,currency_id,integer,,32,0,YES
account_analytic_line,8,create_uid,integer,,32,0,YES
account_analytic_line,9,write_uid,integer,,32,0,YES
account_analytic_line,10,name,character varying,,,,NO
account_analytic_line,11,category,character varying,,,,YES
account_analytic_line,12,date,date,,,,NO
account_analytic_line,13,amount,numeric,,,,NO
account_analytic_line,14,create_date,timestamp without time zone,,,,YES
account_analytic_line,15,write_date,timestamp without time zone,,,,YES
account_analytic_line,16,unit_amount,double precision,,53,,YES
account_analytic_line,17,product_id,integer,,32,0,YES
account_analytic_line,18,general_account_id,integer,,32,0,YES
account_analytic_line,19,journal_id,integer,,32,0,YES
account_analytic_line,20,move_line_id,integer,,32,0,YES
account_analytic_line,21,code,character varying,8,,,YES
account_analytic_line,22,ref,character varying,,,,YES
account_analytic_line,23,task_id,integer,,32,0,YES
account_analytic_line,24,parent_task_id,integer,,32,0,YES
account_analytic_line,25,project_id,integer,,32,0,YES
account_analytic_line,26,department_id,integer,,32,0,YES
account_analytic_line,27,manager_id,integer,,32,0,YES
