conname,contype,src_table,src_cols,tgt_table,tgt_cols,confdeltype
account_account_create_uid_fkey,f,account_account,create_uid,res_users,id,n
account_account_currency_id_fkey,f,account_account,currency_id,res_currency,id,n
account_account_l10n_in_tds_tcs_section_id_fkey,f,account_account,l10n_in_tds_tcs_section_id,l10n_in_section_alert,id,n
account_account_write_uid_fkey,f,account_account,write_uid,res_users,id,n
account_account_pkey,p,account_account,id,,, 
account_account_account_merge_wiza_account_merge_wizard_id_fkey,f,account_account_account_merge_wizard_rel,account_merge_wizard_id,account_merge_wizard,id,c
account_account_account_merge_wizard_re_account_account_id_fkey,f,account_account_account_merge_wizard_rel,account_account_id,account_account,id,c
account_account_account_merge_wizard_rel_pkey,p,account_account_account_merge_wizard_rel,"account_merge_wizard_id,account_account_id",,, 
account_account_account_tag_account_account_id_fkey,f,account_account_account_tag,account_account_id,account_account,id,c
account_account_account_tag_account_account_tag_id_fkey,f,account_account_account_tag,account_account_tag_id,account_account_tag,id,r
account_account_account_tag_pkey,p,account_account_account_tag,"account_account_id,account_account_tag_id",,, 
account_account_res_company_rel_account_account_id_fkey,f,account_account_res_company_rel,account_account_id,account_account,id,c
account_account_res_company_rel_res_company_id_fkey,f,account_account_res_company_rel,res_company_id,res_company,id,c
account_account_res_company_rel_pkey,p,account_account_res_company_rel,"account_account_id,res_company_id",,, 
account_account_tag_country_id_fkey,f,account_account_tag,country_id,res_country,id,n
account_account_tag_create_uid_fkey,f,account_account_tag,create_uid,res_users,id,n
account_account_tag_write_uid_fkey,f,account_account_tag,write_uid,res_users,id,n
account_account_tag_pkey,p,account_account_tag,id,,, 
account_account_tag_name_uniq,u,account_account_tag,"name,applicability,country_id",,, 
account_account_tag_account_move_li_account_account_tag_id_fkey,f,account_account_tag_account_move_line_rel,account_account_tag_id,account_account_tag,id,r
account_account_tag_account_move_line_account_move_line_id_fkey,f,account_account_tag_account_move_line_rel,account_move_line_id,account_move_line,id,c
account_account_tag_account_move_line_rel_pkey,p,account_account_tag_account_move_line_rel,"account_move_line_id,account_account_tag_id",,, 
account_account_tag_account_t_account_tax_repartition_line_fkey,f,account_account_tag_account_tax_repartition_line_rel,account_tax_repartition_line_id,account_tax_repartition_line,id,c
account_account_tag_account_tax_rep_account_account_tag_id_fkey,f,account_account_tag_account_tax_repartition_line_rel,account_account_tag_id,account_account_tag,id,r
account_account_tag_account_tax_repartition_line_rel_pkey,p,account_account_tag_account_tax_repartition_line_rel,"account_tax_repartition_line_id,account_account_tag_id",,, 
account_account_tag_product_templat_account_account_tag_id_fkey,f,account_account_tag_product_template_rel,account_account_tag_id,account_account_tag,id,c
account_account_tag_product_template_r_product_template_id_fkey,f,account_account_tag_product_template_rel,product_template_id,product_template,id,c
account_account_tag_product_template_rel_pkey,p,account_account_tag_product_template_rel,"product_template_id,account_account_tag_id",,, 
account_account_tax_default_rel_account_id_fkey,f,account_account_tax_default_rel,account_id,account_account,id,c
account_account_tax_default_rel_tax_id_fkey,f,account_account_tax_default_rel,tax_id,account_tax,id,c
account_account_tax_default_rel_pkey,p,account_account_tax_default_rel,"account_id,tax_id",,, 
account_accrued_orders_wizard_account_id_fkey,f,account_accrued_orders_wizard,account_id,account_account,id,c
account_accrued_orders_wizard_company_id_fkey,f,account_accrued_orders_wizard,company_id,res_company,id,n
account_accrued_orders_wizard_create_uid_fkey,f,account_accrued_orders_wizard,create_uid,res_users,id,n
account_accrued_orders_wizard_currency_id_fkey,f,account_accrued_orders_wizard,currency_id,res_currency,id,n
account_accrued_orders_wizard_journal_id_fkey,f,account_accrued_orders_wizard,journal_id,account_journal,id,c
account_accrued_orders_wizard_write_uid_fkey,f,account_accrued_orders_wizard,write_uid,res_users,id,n
account_accrued_orders_wizard_pkey,p,account_accrued_orders_wizard,id,,, 
account_analytic_account_company_id_fkey,f,account_analytic_account,company_id,res_company,id,n
account_analytic_account_create_uid_fkey,f,account_analytic_account,create_uid,res_users,id,n
account_analytic_account_partner_id_fkey,f,account_analytic_account,partner_id,res_partner,id,n
account_analytic_account_plan_id_fkey,f,account_analytic_account,plan_id,account_analytic_plan,id,r
account_analytic_account_root_plan_id_fkey,f,account_analytic_account,root_plan_id,account_analytic_plan,id,n
account_analytic_account_write_uid_fkey,f,account_analytic_account,write_uid,res_users,id,n
account_analytic_account_pkey,p,account_analytic_account,id,,, 
account_analytic_applicability_analytic_plan_id_fkey,f,account_analytic_applicability,analytic_plan_id,account_analytic_plan,id,n
account_analytic_applicability_company_id_fkey,f,account_analytic_applicability,company_id,res_company,id,n
account_analytic_applicability_create_uid_fkey,f,account_analytic_applicability,create_uid,res_users,id,n
account_analytic_applicability_product_categ_id_fkey,f,account_analytic_applicability,product_categ_id,product_category,id,n
account_analytic_applicability_write_uid_fkey,f,account_analytic_applicability,write_uid,res_users,id,n
account_analytic_applicability_pkey,p,account_analytic_applicability,id,,, 
account_analytic_distribution_model_company_id_fkey,f,account_analytic_distribution_model,company_id,res_company,id,c
account_analytic_distribution_model_create_uid_fkey,f,account_analytic_distribution_model,create_uid,res_users,id,n
account_analytic_distribution_model_partner_category_id_fkey,f,account_analytic_distribution_model,partner_category_id,res_partner_category,id,c
account_analytic_distribution_model_partner_id_fkey,f,account_analytic_distribution_model,partner_id,res_partner,id,c
account_analytic_distribution_model_product_categ_id_fkey,f,account_analytic_distribution_model,product_categ_id,product_category,id,c
account_analytic_distribution_model_product_id_fkey,f,account_analytic_distribution_model,product_id,product_product,id,c
account_analytic_distribution_model_write_uid_fkey,f,account_analytic_distribution_model,write_uid,res_users,id,n
account_analytic_distribution_model_pkey,p,account_analytic_distribution_model,id,,, 
account_analytic_line_account_id_fkey,f,account_analytic_line,account_id,account_analytic_account,id,r
account_analytic_line_company_id_fkey,f,account_analytic_line,company_id,res_company,id,r
account_analytic_line_create_uid_fkey,f,account_analytic_line,create_uid,res_users,id,n
account_analytic_line_currency_id_fkey,f,account_analytic_line,currency_id,res_currency,id,n
account_analytic_line_department_id_fkey,f,account_analytic_line,department_id,hr_department,id,n
account_analytic_line_employee_id_fkey,f,account_analytic_line,employee_id,hr_employee,id,n
account_analytic_line_general_account_id_fkey,f,account_analytic_line,general_account_id,account_account,id,r
account_analytic_line_global_leave_id_fkey,f,account_analytic_line,global_leave_id,resource_calendar_leaves,id,c
account_analytic_line_holiday_id_fkey,f,account_analytic_line,holiday_id,hr_leave,id,n
account_analytic_line_journal_id_fkey,f,account_analytic_line,journal_id,account_journal,id,n
account_analytic_line_manager_id_fkey,f,account_analytic_line,manager_id,hr_employee,id,n
account_analytic_line_move_line_id_fkey,f,account_analytic_line,move_line_id,account_move_line,id,c
account_analytic_line_parent_task_id_fkey,f,account_analytic_line,parent_task_id,project_task,id,n
account_analytic_line_partner_id_fkey,f,account_analytic_line,partner_id,res_partner,id,n
account_analytic_line_product_id_fkey,f,account_analytic_line,product_id,product_product,id,n
account_analytic_line_product_uom_id_fkey,f,account_analytic_line,product_uom_id,uom_uom,id,n
account_analytic_line_project_id_fkey,f,account_analytic_line,project_id,project_project,id,n
account_analytic_line_task_id_fkey,f,account_analytic_line,task_id,project_task,id,n
account_analytic_line_user_id_fkey,f,account_analytic_line,user_id,res_users,id,n
account_analytic_line_write_uid_fkey,f,account_analytic_line,write_uid,res_users,id,n
account_analytic_line_pkey,p,account_analytic_line,id,,, 
account_analytic_line_calendar_employee_create_uid_fkey,f,account_analytic_line_calendar_employee,create_uid,res_users,id,n
account_analytic_line_calendar_employee_employee_id_fkey,f,account_analytic_line_calendar_employee,employee_id,hr_employee,id,n
account_analytic_line_calendar_employee_user_id_fkey,f,account_analytic_line_calendar_employee,user_id,res_users,id,c
account_analytic_line_calendar_employee_write_uid_fkey,f,account_analytic_line_calendar_employee,write_uid,res_users,id,n
account_analytic_line_calendar_employee_pkey,p,account_analytic_line_calendar_employee,id,,, 
account_analytic_plan_create_uid_fkey,f,account_analytic_plan,create_uid,res_users,id,n
account_analytic_plan_parent_id_fkey,f,account_analytic_plan,parent_id,account_analytic_plan,id,c
account_analytic_plan_write_uid_fkey,f,account_analytic_plan,write_uid,res_users,id,n
account_analytic_plan_pkey,p,account_analytic_plan,id,,, 
account_automatic_entry_wizard_company_id_fkey,f,account_automatic_entry_wizard,company_id,res_company,id,c
account_automatic_entry_wizard_create_uid_fkey,f,account_automatic_entry_wizard,create_uid,res_users,id,n
account_automatic_entry_wizard_destination_account_id_fkey,f,account_automatic_entry_wizard,destination_account_id,account_account,id,n
account_automatic_entry_wizard_write_uid_fkey,f,account_automatic_entry_wizard,write_uid,res_users,id,n
account_automatic_entry_wizard_pkey,p,account_automatic_entry_wizard,id,,, 
account_automatic_entry_wizar_account_automatic_entry_wiza_fkey,f,account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizard_id,account_automatic_entry_wizard,id,c
account_automatic_entry_wizard_accoun_account_move_line_id_fkey,f,account_automatic_entry_wizard_account_move_line_rel,account_move_line_id,account_move_line,id,c
