odoo_model,table_hint,field_name,ttype,relation,required,store,module
document.category,"{""en_US"": ""Document Category""}",child_ids,one2many,document.category,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",color,integer,,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",create_date,datetime,,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",create_uid,many2one,res.users,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",display_name,char,,f,f,document_template_manager
document.category,"{""en_US"": ""Document Category""}",document_count,integer,,f,f,document_template_manager
document.category,"{""en_US"": ""Document Category""}",id,integer,,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",name,char,,t,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",parent_id,many2one,document.category,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",sequence,integer,,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",write_date,datetime,,f,t,document_template_manager
document.category,"{""en_US"": ""Document Category""}",write_uid,many2one,res.users,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",color,integer,,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",create_date,datetime,,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",create_uid,many2one,res.users,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",display_name,char,,f,f,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",id,integer,,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",name,char,,t,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",write_date,datetime,,f,t,document_template_manager
document.tag,"{""en_US"": ""Document Tag""}",write_uid,many2one,res.users,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",active,boolean,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_calendar_event_id,many2one,calendar.event,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_date_deadline,date,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_exception_decoration,selection,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_exception_icon,char,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_ids,one2many,mail.activity,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_state,selection,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_summary,char,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_type_icon,char,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_type_id,many2one,mail.activity.type,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",activity_user_id,many2one,res.users,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",category_id,many2one,document.category,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",company_id,many2one,res.company,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",create_date,datetime,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",create_uid,many2one,res.users,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",display_name,char,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",favorite,boolean,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",has_message,boolean,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",has_pdf,boolean,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",header_html,html,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",html_content,html,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",id,integer,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",margin_bottom,float,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",margin_left,float,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",margin_right,float,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",margin_top,float,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_attachment_count,integer,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_follower_ids,one2many,mail.followers,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_has_error,boolean,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_has_error_counter,integer,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_has_sms_error,boolean,,f,f,
document.template,"{""en_US"": ""Document Template""}",message_ids,one2many,mail.message,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_is_follower,boolean,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_needaction,boolean,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_needaction_counter,integer,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",message_partner_ids,many2many,res.partner,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",my_activity_date_deadline,date,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",name,char,,t,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",pdf_file,binary,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",pdf_filename,char,,f,f,document_template_manager
document.template,"{""en_US"": ""Document Template""}",print_mode,selection,,t,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",rating_ids,one2many,rating.rating,f,t,
document.template,"{""en_US"": ""Document Template""}",show_header,boolean,,f,t,document_template_manager
document.template,"{""en_US"": ""Document Template""}",summary,text,,f,t,document_template_manager
